Sl no,unique_id,company_name,facebook_url_userinput,task_category_type,package_id,level,level_id,task_title,description,icon_url,url,facebook_page_id,target,current_reach,campaign_budget,campaign_priority,user_credits,task_category_brand_uid
5490,campaign--temp-c5490-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.185358995321698.1073741828.183696452154619/269472220243708/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Delicious Kabbas with gafc,http://gafc.co.in/temp/img/main_logo.png,,269472220243708,10000,0,200000,1,10,facebook_page_post-269472220243708
5491,campaign--temp-c5491-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.185358995321698.1073741828.183696452154619/268661473658116/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,268661473658116,10000,0,200000,1,10,facebook_page_post-268661473658116
5492,campaign--temp-c5492-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/pcb.196025187588412/196024690921795/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,196024690921795,10000,0,200000,1,10,facebook_page_post-196024690921795
5493,campaign--temp-c5493-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.185358995321698.1073741828.183696452154619/267986547058942/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,267986547058942,10000,0,200000,1,10,facebook_page_post-267986547058942
5494,campaign--temp-c5494-p4-l3,GAFC,https://www.facebook.com/GAFCDumPot/photos/a.454247728261550.1073741828.451886675164322/454312071588449/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,454312071588449,10000,0,200000,1,10,facebook_page_post-454312071588449
5495,campaign--temp-c5495-p4-l3,GAFC,https://www.facebook.com/GAFCDumPot/photos/pcb.464014490618207/464012567285066/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,464012567285066,10000,0,200000,1,10,facebook_page_post-464012567285066
5496,campaign--temp-c5496-p4-l3,GAFC,https://www.facebook.com/AdvaitaVeg/photos/pcb.1382968778457612/1382966901791133/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,1382966901791130,10000,0,200000,1,10,facebook_page_post-1382966901791133
5497,campaign--temp-c5497-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/pcb.196025187588412/196024690921795/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,196024690921795,10000,0,200000,1,10,facebook_page_post-196024690921795
5498,campaign--temp-c5498-p4-l3,GAFC,https://www.facebook.com/GAFCDumPot/photos/a.454247728261550.1073741828.451886675164322/459842344368755/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,459842344368755,10000,0,200000,1,10,facebook_page_post-459842344368755
5499,campaign--temp-c5499-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.185358995321698.1073741828.183696452154619/192072757983655/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,192072757983655,10000,0,200000,1,10,facebook_page_post-192072757983655
5500,campaign--temp-c5500-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.185358995321698.1073741828.183696452154619/187659788424952/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,187659788424952,10000,0,200000,1,10,facebook_page_post-187659788424952
5501,campaign--temp-c5501-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.185358995321698.1073741828.183696452154619/187659788424952/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Chicken curry with gafc,http://gafc.co.in/temp/img/main_logo.png,,187659788424952,10000,0,200000,1,10,facebook_page_post-187659788424952
5502,campaign--temp-c5502-p4-l3,GAFC,https://www.facebook.com/GAFCDumPot/photos/a.454247728261550.1073741828.451886675164322/455810918105231/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Chicken curry with gafc,http://gafc.co.in/temp/img/main_logo.png,,455810918105231,10000,0,200000,1,10,facebook_page_post-455810918105231
5503,campaign--temp-c5503-p4-l3,GAFC,https://www.facebook.com/GAFCDumPot/photos/a.454247728261550.1073741828.451886675164322/454312071588449/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Chicken curry with gafc,http://gafc.co.in/temp/img/main_logo.png,,454312071588449,10000,0,200000,1,10,facebook_page_post-454312071588449
5504,campaign--temp-c5504-p4-l3,GAFC,https://www.facebook.com/GAFCDumPot/photos/a.454247728261550.1073741828.451886675164322/454242008262122/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,454242008262122,10000,0,200000,1,10,facebook_page_post-454242008262122
5505,campaign--temp-c5505-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.185358995321698.1073741828.183696452154619/185358891988375/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,185358891988375,10000,0,200000,1,10,facebook_page_post-185358891988375
5506,campaign--temp-c5506-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.183697065487891.1073741826.183696452154619/184173745440223/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,184173745440223,10000,0,200000,1,10,facebook_page_post-184173745440223
5507,campaign--temp-c5507-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.183697065487891.1073741826.183696452154619/183785502145714/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,183785502145714,10000,0,200000,1,10,facebook_page_post-183785502145714
5508,campaign--temp-c5508-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.183697338821197.1073741827.183696452154619/183749922149272/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,183749922149272,10000,0,200000,1,10,facebook_page_post-183749922149272
5509,campaign--temp-c5509-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.183697065487891.1073741826.183696452154619/183696955487902/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,183696955487902,10000,0,200000,1,10,facebook_page_post-183696955487902
5510,campaign--temp-c5510-p4-l3,EazyCinema,https://www.facebook.com/545867852414120/photos/a.547114475622791.1073741828.545867852414120/551097528557819/?type=3,facebook_page_post,p4,l3,p4-l3,Like EazyCinema Post,"Movies in Hyderabad - Book online movie tickets for cinemas in Hyderabad @ Eazycinema .Find showtimes, ticket prices, available seats with release dates of movies in Hyderabad.Coming Soon..... With Deals for you!",,,551097528557819,10000,0,200000,1,10,facebook_page_post-551097528557819
5511,campaign--temp-c5511-p4-l3,EazyCinema,https://www.facebook.com/545867852414120/photos/a.547114475622791.1073741828.545867852414120/549829508684621/?type=3,facebook_page_post,p4,l3,p4-l3,Like EazyCinema Post,"Entertainment made easy,Book tickets for movies, plays, events and more",,,549829508684621,10000,0,200000,1,10,facebook_page_post-549829508684621
5512,campaign--temp-c5512-p4-l3,EazyCinema,https://www.facebook.com/545867852414120/photos/a.547114475622791.1073741828.545867852414120/547113875622851/?type=3,facebook_page_post,p4,l3,p4-l3,Like EazyCinema Post,Something EAZY is coming soon @Eazycinema,,,547113875622851,10000,0,200000,1,10,facebook_page_post-547113875622851
5513,campaign--temp-c5513-p4-l3,EazyCinema,https://www.facebook.com/545867852414120/photos/a.547113668956205.1073741827.545867852414120/547113672289538/?type=3,facebook_page_post,p4,l3,p4-l3,Like EazyCinema Post,"Entertainment made easy,Book tickets for movies, plays, events and more",,,547113672289538,10000,0,200000,1,10,facebook_page_post-547113672289538
5514,campaign--temp-c5514-p4-l3,EazyCinema,https://www.facebook.com/545867852414120/photos/a.546803935653845.1073741826.545867852414120/546803865653852/?type=3,facebook_page_post,p4,l3,p4-l3,Like EazyCinema Post,"Entertainment made easy,Book tickets for movies, plays, events and more",,,546803865653852,10000,0,200000,1,10,facebook_page_post-546803865653852
5515,campaign--temp-c5515-p4-l3,Cosmickent,https://www.facebook.com/CosmickentEnterprises/posts/343351759473500,facebook_page_post,p4,l3,p4-l3,Like Cosmickent Post,"Everything You Need To Start Selling Online Today.
  E-Commerce Applications Which has:
  ✔Secured Shopping Cart · 
  ✔Mobile Commerce Ready · 
  ✔SEO Optimized",,,343351759473500,10000,0,200000,1,10,facebook_page_post-343351759473500
5516,campaign--temp-c5516-p4-l3,Cosmickent,https://www.facebook.com/CosmickentEnterprises/photos/a.327962247679118.1073741828.252507801891230/340944566380886/?type=3,facebook_page_post,p4,l3,p4-l3,Like Cosmickent Post,"Cosmickent Techno Solutions is a reliable and Competent Android & IOS application Development Company.
  ✔ conceptualization of mobile app development.
  ✔ 100% Satisfaction
  ✔ Affordable",,,340944566380886,10000,0,200000,1,10,facebook_page_post-340944566380886
5517,campaign--temp-c5517-p4-l3,Cosmickent,https://www.facebook.com/notes/cosmickent/walk-in-interview-for-salesbd-exp-0-3-years/327961374345872/,facebook_page_post,p4,l3,p4-l3,Like Cosmickent Post,Software Development with cosmickent,,,327961374345872,10000,0,200000,1,10,facebook_page_post-327961374345872
5518,campaign--temp-c5518-p4-l3,Cosmickent,https://www.facebook.com/notes/cosmickent/walk-in-interview-for-salesbd-exp-0-3-years/327961374345872/,facebook_page_post,p4,l3,p4-l3,Like Cosmickent Post,Website Development Digital Marketing @cosmickent,,,327961374345872,10000,0,200000,1,10,facebook_page_post-327961374345872
5519,campaign--temp-c5519-p4-l3,Cosmickent,https://www.facebook.com/CosmickentEnterprises/photos/a.252509245224419.1073741827.252507801891230/285726861902657/?type=3,facebook_page_post,p4,l3,p4-l3,Like Cosmickent Post,Email Campaign Html Java .net @cosmickent,,,285726861902657,10000,0,200000,1,10,facebook_page_post-285726861902657
